weapon,refine,atk,crate,cdmg
MissiveWindspear (Off),R2,0,17,8
MissiveWindspear (Off),R3,0,17,8
MissiveWindspear (Off),R4,0,17,8
MissiveWindspear (Off),R5,0,17,8
WavebreakersFin,R1,3,15,7
WavebreakersFin,R2,3,15,7
WavebreakersFin,R3,3,15,7
WavebreakersFin,R4,3,15,7
WavebreakersFin,R5,3,15,7
FavoniusLance,R1,5,14,6
FavoniusLance,R2,5,14,6
FavoniusLance,R3,5,14,6
FavoniusLance,R4,5,14,6
FavoniusLance,R5,5,14,6
PrototypeStarglitter,R1,5,14,6
PrototypeStarglitter,R2,5,14,6
PrototypeStarglitter,R3,5,14,6
PrototypeStarglitter,R4,5,14,6
PrototypeStarglitter,R5,5,14,6
WhiteTassel,R1,4,12,9
WhiteTassel,R2,4,12,9
WhiteTassel,R3,4,12,9
WhiteTassel,R4,4,12,9
WhiteTassel,R5,4,12,9
